Precinct Name,Contest,Candidate,Total Votes,Election Day Votes,Early Votes,Mail Votes,Party
101,"Representative in Congress, District 6",Michael Waltz,1562,343,903,316,REP
101,"Representative in Congress, District 6",James David Stockton III,725,191,276,258,DEM
101,"Representative in Congress, District 6",Write-In Totals,2,1,1,0,
102,"Representative in Congress, District 6",Michael Waltz,1783,777,777,229,REP
102,"Representative in Congress, District 6",James David Stockton III,337,107,107,123,DEM
102,"Representative in Congress, District 6",Write-In Totals,1,1,0,0,
103,"Representative in Congress, District 6",Michael Waltz,2448,391,1317,740,REP
103,"Representative in Congress, District 6",James David Stockton III,908,80,275,553,DEM
103,"Representative in Congress, District 6",Write-In Totals,1,1,0,0,
201,"Representative in Congress, District 6",Michael Waltz,2392,416,1447,529,REP
201,"Representative in Congress, District 6",James David Stockton III,1068,124,412,532,DEM
201,"Representative in Congress, District 6",Write-In Totals,0,0,0,0,
202,"Representative in Congress, District 6",Michael Waltz,1110,211,658,241,REP
202,"Representative in Congress, District 6",James David Stockton III,604,66,259,279,DEM
202,"Representative in Congress, District 6",Write-In Totals,2,2,0,0,
401,"Representative in Congress, District 6",Michael Waltz,3746,480,2210,"1,056",REP
401,"Representative in Congress, District 6",James David Stockton III,1469,164,526,779,DEM
401,"Representative in Congress, District 6",Write-In Totals,6,2,2,2,
501,"Representative in Congress, District 6",Michael Waltz,4715,"1,034",2872,809,REP
501,"Representative in Congress, District 6",James David Stockton III,2392,420,1059,913,DEM
501,"Representative in Congress, District 6",Write-In Totals,7,3,1,3,
502,"Representative in Congress, District 6",Michael Waltz,2028,290,1244,494,REP
502,"Representative in Congress, District 6",James David Stockton III,1117,132,450,535,DEM
502,"Representative in Congress, District 6",Write-In Totals,1,1,0,0,
503,"Representative in Congress, District 6",Michael Waltz,1677,430,991,256,REP
503,"Representative in Congress, District 6",James David Stockton III,1157,257,502,398,DEM
503,"Representative in Congress, District 6",Write-In Totals,2,0,1,1,
504,"Representative in Congress, District 6",Michael Waltz,1688,405,1000,283,REP
504,"Representative in Congress, District 6",James David Stockton III,1183,247,529,407,DEM
504,"Representative in Congress, District 6",Write-In Totals,4,0,0,4,
505,"Representative in Congress, District 6",Michael Waltz,2701,501,1675,525,REP
505,"Representative in Congress, District 6",James David Stockton III,1591,224,662,705,DEM
505,"Representative in Congress, District 6",Write-In Totals,1,0,0,1,
506,"Representative in Congress, District 6",Michael Waltz,4057,902,2383,772,REP
506,"Representative in Congress, District 6",James David Stockton III,2611,502,1143,966,DEM
506,"Representative in Congress, District 6",Write-In Totals,6,0,3,3,
507,"Representative in Congress, District 6",Michael Waltz,2174,438,1369,367,REP
507,"Representative in Congress, District 6",James David Stockton III,1375,190,621,564,DEM
507,"Representative in Congress, District 6",Write-In Totals,1,0,0,1,
508,"Representative in Congress, District 6",Michael Waltz,2153,408,1320,425,REP
508,"Representative in Congress, District 6",James David Stockton III,1377,201,520,656,DEM
508,"Representative in Congress, District 6",Write-In Totals,3,1,1,1,
509,"Representative in Congress, District 6",Michael Waltz,2718,633,1639,446,REP
509,"Representative in Congress, District 6",James David Stockton III,1555,280,704,571,DEM
509,"Representative in Congress, District 6",Write-In Totals,9,4,3,2,
510,"Representative in Congress, District 6",Michael Waltz,2354,527,1494,333,REP
510,"Representative in Congress, District 6",James David Stockton III,1247,208,568,471,DEM
510,"Representative in Congress, District 6",Write-In Totals,2,1,1,0,
511,"Representative in Congress, District 6",Michael Waltz,2730,552,1585,593,REP
511,"Representative in Congress, District 6",James David Stockton III,1295,219,476,600,DEM
511,"Representative in Congress, District 6",Write-In Totals,6,6,0,0,
512,"Representative in Congress, District 6",Michael Waltz,2288,406,1456,426,REP
512,"Representative in Congress, District 6",James David Stockton III,1072,141,446,485,DEM
512,"Representative in Congress, District 6",Write-In Totals,1,0,0,1,
513,"Representative in Congress, District 6",Michael Waltz,3091,410,2038,643,REP
513,"Representative in Congress, District 6",James David Stockton III,1519,162,649,708,DEM
513,"Representative in Congress, District 6",Write-In Totals,3,1,2,0,
514,"Representative in Congress, District 6",Michael Waltz,1732,349,948,435,REP
514,"Representative in Congress, District 6",James David Stockton III,852,125,258,469,DEM
514,"Representative in Congress, District 6",Write-In Totals,1,1,0,0,
515,"Representative in Congress, District 6",Michael Waltz,1932,369,1085,478,REP
515,"Representative in Congress, District 6",James David Stockton III,790,108,268,414,DEM
515,"Representative in Congress, District 6",Write-In Totals,0,0,0,0,
